phrase,sentances
data storage,Hash functions and their associated hash tables are used in data storage and retrieval applications to access data in a small and nearly constant time per retrieval.
hash functions,"Hash functions are related to (and often confused with) checksums, check digits, fingerprints, lossy compression, randomization functions, error-correcting codes, and ciphers. !! Use of hash functions relies on statistical properties of key and function interaction: worst-case behaviour is intolerably bad with a vanishingly small probability, and average-case behaviour can be nearly optimal (minimal collision). !! Hash functions rely on generating favourable probability distributions for their effectiveness, reducing access time to nearly constant. !! High table loading factors, pathological key sets and poorly designed hash functions can result in access times approaching linear in the number of items in the table. !! Hash functions and their associated hash tables are used in data storage and retrieval applications to access data in a small and nearly constant time per retrieval."
function interaction,"Use of hash functions relies on statistical properties of key and function interaction: worst-case behaviour is intolerably bad with a vanishingly small probability, and average-case behaviour can be nearly optimal (minimal collision)."
statistical properties,"Use of hash functions relies on statistical properties of key and function interaction: worst-case behaviour is intolerably bad with a vanishingly small probability, and average-case behaviour can be nearly optimal (minimal collision)."
randomization functions,"Hash functions are related to (and often confused with) checksums, check digits, fingerprints, lossy compression, randomization functions, error-correcting codes, and ciphers. !! In theory, randomization functions are assumed to be truly random, and yield an unpredictably different function every time the algorithm is executed."
intelligent agent,"Intelligent agents are often described schematically as an abstract functional system similar to a computer program. !! In artificial intelligence, an embodied agent, also sometimes referred to as an interface agent, is an intelligent agent that interacts with the environment through a physical body within that environment. !! In artificial intelligence, an intelligent agent (IA) is anything which perceives its environment, takes actions autonomously in order to achieve goals, and may improve its performance with learning or may use knowledge. !! Leading AI textbooks define ""artificial intelligence"" as the ""study and design of intelligent agents"", a definition that considers goal-directed behavior to be the essence of intelligence. !! They may be simple or complex a thermostat is considered an example of an intelligent agent, as is a human being, as is any system that meets the definition, such as a firm, a state, or a biome. !! Intelligent agents in artificial intelligence are closely related to agents in economics, and versions of the intelligent agent paradigm are studied in cognitive science, ethics, the philosophy of practical reason, as well as in many interdisciplinary socio-cognitive modeling and computer social simulations."
artificial intelligence,"Constraint programming (CP) is a paradigm for solving combinatorial problems that draws on a wide range of techniques from artificial intelligence, computer science, and operations research. !! In artificial intelligence (AI) and philosophy, AI alignment and the AI control problem are aspects of how to build AI systems such that they will aid rather than harm their creators. !! Applied Artificial Intelligence is a peer-reviewed scientific journal covering applications of artificial intelligence in management, industry, engineering, administration, and education, as well as evaluations of existing AI systems and tools and their economic, social, and cultural impact. !! Artificial consciousness concepts are also pondered in the philosophy of artificial intelligence through questions about mind, consciousness, and mental states. !! Textual case-based reasoning (TCBR) is a subtopic of case-based reasoning, in short CBR, a popular area in artificial intelligence. !! Computational human modeling is an interdisciplinary computational science that links the diverse fields of artificial intelligence, cognitive science, and computer vision with machine learning, mathematics, and cognitive psychology. !! Ubiquitous computing touches on distributed computing, mobile computing, location computing, mobile networking, sensor networks, humancomputer interaction, context-aware smart home technologies, and artificial intelligence. !! In artificial intelligence, a differentiable neural computer (DNC) is a memory augmented neural network architecture (MANN), which is typically (not by definition) recurrent in its implementation. !! The objectives of Distributed Artificial Intelligence are to solve the reasoning, planning, learning and perception problems of artificial intelligence, especially if they require large data, by distributing the problem to autonomous processing nodes (agents). !! Cognitive computing (CC) refers to technology platforms that, broadly speaking, are based on the scientific disciplines of artificial intelligence and signal processing. !! In artificial intelligence, artificial immune systems (AIS) are a class of computationally intelligent, rule-based machine learning systems inspired by the principles and processes of the vertebrate immune system. !! Statistical relational learning (SRL) is a subdiscipline of artificial intelligence and machine learning that is concerned with domain models that exhibit both uncertainty (which can be dealt with using statistical methods) and complex, relational structure. !! AI Bridging Cloud Infrastructure (ABCI) is a planned supercomputer being built at the University of Tokyo for use in artificial intelligence, machine learning, and deep learning. !! In artificial intelligence, model-based reasoning refers to an inference method used in expert systems based on a model of the physical world. !! The regulation of artificial intelligence is the development of public sector policies and laws for promoting and regulating AI. !! Artificial intelligence, cognitive modeling, and neural networks are information processing paradigms inspired by the way biological neural systems process data. !! Network capable: ability to communicate and bundle (product bundling) with another product (business) or product setsThe vision of smart products poses questions relevant to various research areas, including marketing, product engineering, computer science, artificial intelligence, economics, communication science, media economics, cognitive science, consumer psychology, innovation management and many more. !! In artificial intelligence, symbolic artificial intelligence is the term for the collection of all methods in artificial intelligence research that are based on high-level symbolic (human-readable) representations of problems, logic and search. !! the problem of creating 'artificial intelligence' will substantially be solved"". !! Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to natural intelligence displayed by animals including humans. !! Robotic process automation (RPA) is a form of business process automation technology based on metaphorical software robots (bots) or on artificial intelligence (AI)/digital workers. !! In computer science, evolutionary computation is a family of algorithms for global optimization inspired by biological evolution, and the subfield of artificial intelligence and soft computing studying these algorithms. !! Computational archaeology is also known as ""archaeological informatics"" (Burenhult 2002, Huggett and Ross 2004) or ""archaeoinformatics"" (sometimes abbreviated as ""AI"", but not to be confused with artificial intelligence). !! On January 7, 2019, following an Executive Order on Maintaining American Leadership in Artificial Intelligence, the White Houses Office of Science and Technology Policy released a draft Guidance for Regulation of Artificial Intelligence Applications, which includes ten principles for United States agencies when deciding whether and how to regulate AI. !! Deep Learning Studio is a software tool that aims to simplify the creation of deep learning models used in artificial intelligence. !! Leading AI textbooks define ""artificial intelligence"" as the ""study and design of intelligent agents"", a definition that considers goal-directed behavior to be the essence of intelligence. !! Knowledge representation and reasoning (KRR, KR&R, KR) is the field of artificial intelligence (AI) dedicated to representing information about the world in a form that a computer system can use to solve complex tasks such as diagnosing a medical condition or having a dialog in a natural language. !! Artificial intelligence in fiction often crosses the line to apparent artificial intuition, although it can't be shown if the intent of the fiction creator was to show a simulation of intuition or that real artificial intuition is part of the story's AI, because this depends on the internal structure of the programming of the AI, which is not usually shown in stories. !! Some popular accounts use the term ""artificial intelligence"" to describe machines that mimic ""cognitive"" functions that humans associate with the human mind, such as ""learning"" and ""problem solving"", however, this definition is rejected by major AI researchers. !! In the domain of artificial intelligence, a Markov random field is used to model various low- to mid-level tasks in image processing and computer vision. !! Argument technology is a sub-field of artificial intelligence that focuses on applying computational techniques to the creation, identification, analysis, navigation, evaluation and visualisation of arguments and debates. !! The expression is used in the second paragraph with a footnote claiming that ""computational logic"" is ""surely a better phrase than 'theorem proving', for the branch of artificial intelligence which deals with how to make machines do deduction efficiently"". !! Ontology Learning and Population: Bridging the Gap between Text and Knowledge, Series information for Frontiers in Artificial Intelligence and Applications, IOS Press, 2008. !! Fuzzy logic has been applied to many fields, from control theory to artificial intelligence. !! In artificial intelligence, an embodied agent, also sometimes referred to as an interface agent, is an intelligent agent that interacts with the environment through a physical body within that environment. !! Sources disagree about exactly what constitutes ""real"" intelligence as opposed to ""simulated"" intelligence and therefore whether there is a meaningful distinction between artificial intelligence and synthetic intelligence. !! In artificial intelligence, an intelligent agent (IA) is anything which perceives its environment, takes actions autonomously in order to achieve goals, and may improve its performance with learning or may use knowledge. !! Artificial consciousness (AC), also known as machine consciousness (MC) or synthetic consciousness (Gamez 2008; Reggia 2013), is a field related to artificial intelligence and cognitive robotics. !! The voice and style of the contentThe use of content intelligence is therefore connected to the science of big data and artificial intelligence. !! Artificial intelligence was founded as an academic discipline in 1956, and in the years since has experienced several waves of optimism, followed by disappointment and the loss of funding (known as an ""AI winter""), followed by new approaches, success and renewed funding. !! The Artificial Intelligence of Things (AIoT) is the combination of Artificial intelligence (AI) technologies with the Internet of things (IoT) infrastructure to achieve more efficient IoT operations, improve human-machine interactions and enhance data management and analytics. !! In 1975 distributed artificial intelligence emerged as a subfield of artificial intelligence that dealt with interactions of intelligent agents[2]. !! The concept of rational agents can be found in various disciplines such as artificial intelligence, cognitive science, decision theory, economics, ethics, game theory, and the study of practical reason. !! The regulation of artificial intelligence is the development of public sector policies and laws for promoting and regulating artificial intelligence (AI); it is therefore related to the broader regulation of algorithms. !! Embodied cognitive science borrows heavily from embodied philosophy and the related research fields of cognitive science, psychology, neuroscience and artificial intelligence. !! In artificial intelligence and related fields, an argumentation framework is a way to deal with contentious information and draw conclusions from it using formalized arguments. !! In 1972 the Metamathematics Unit at the University of Edinburgh was renamed The Department of Computational Logic in the School of Artificial Intelligence. !! Within computer science, bio-inspired computing relates to artificial intelligence and machine learning. !! Similarity learning is an area of supervised machine learning in artificial intelligence. !! Regulation of algorithms, or algorithmic regulation, is the creation of laws, rules and public sector policies for promotion and regulation of algorithms, particularly in artificial intelligence and machine learning. !! Except those main principles, currently popular approaches include biologically inspired algorithms such as swarm intelligence and artificial immune systems, which can be seen as a part of evolutionary computation, image processing, data mining, natural language processing, and artificial intelligence, which tends to be confused with Computational Intelligence. !! Although no commercially successful general-purpose computer hardware has used a dataflow architecture, it has been successfully implemented in specialized hardware such as in digital signal processing, network routing, graphics processing, telemetry, and more recently in data warehousing, and artificial intelligence. !! Moravec's paradox is the observation by artificial intelligence and robotics researchers that, contrary to traditional assumptions, reasoning requires very little computation, but sensorimotor and perception skills require enormous computational resources. !! Reasoning systems play an important role in the implementation of artificial intelligence and knowledge-based systems. !! and have been common in fiction, as in Mary Shelley's Frankenstein or Karel apek's R. U. R. These characters and their fates raised many of the same issues now discussed in the ethics of artificial intelligence. !! In artificial intelligence, genetic programming (GP) is a technique of evolving programs, starting from a population of unfit (usually random) programs, fit for a particular task by applying operations analogous to natural genetic processes to the population of programs. !! Artificial imagination research uses tools and insights from many fields, including computer science, rhetoric, psychology, creative arts, philosophy, neuroscience, affective computing, Artificial Intelligence, cognitive science, linguistics, operations research, creative writing, probability and logic. !! Computer algebra systems began to appear in the 1960s and evolved out of two quite different sourcesthe requirements of theoretical physicists and research into artificial intelligence. !! Virtual intelligence is the term given to artificial intelligence that exists within a virtual world. !! The founding concepts behind learning classifier systems came from attempts to model complex adaptive systems, using rule-based agents to form an artificial cognitive system (i. e. artificial intelligence). !! A cognitive architecture refers to both a theory about the structure of the human mind and to a computational instantiation of such a theory used in the fields of artificial intelligence (AI) and computational cognitive science. !! Ontology Learning from Text: Methods, Evaluation and Applications, Series information for Frontiers in Artificial Intelligence and Applications, IOS Press, 2005. !! Intelligent agents in artificial intelligence are closely related to agents in economics, and versions of the intelligent agent paradigm are studied in cognitive science, ethics, the philosophy of practical reason, as well as in many interdisciplinary socio-cognitive modeling and computer social simulations."
intelligent agents,"In 1975 distributed artificial intelligence emerged as a subfield of artificial intelligence that dealt with interactions of intelligent agents[2]. !! Intelligent agents are often described schematically as an abstract functional system similar to a computer program. !! Intelligent agents in artificial intelligence are closely related to agents in economics, and versions of the intelligent agent paradigm are studied in cognitive science, ethics, the philosophy of practical reason, as well as in many interdisciplinary socio-cognitive modeling and computer social simulations. !! Leading AI textbooks define ""artificial intelligence"" as the ""study and design of intelligent agents"", a definition that considers goal-directed behavior to be the essence of intelligence."
cognitive modeling,"Artificial intelligence, cognitive modeling, and neural networks are information processing paradigms inspired by the way biological neural systems process data. !! Intelligent agents in artificial intelligence are closely related to agents in economics, and versions of the intelligent agent paradigm are studied in cognitive science, ethics, the philosophy of practical reason, as well as in many interdisciplinary socio-cognitive modeling and computer social simulations."
cognitive science,"Computational human modeling is an interdisciplinary computational science that links the diverse fields of artificial intelligence, cognitive science, and computer vision with machine learning, mathematics, and cognitive psychology. !! Human-centered computing researchers and practitioners usually come from one or more of disciplines such as computer science, human factors, sociology, psychology, cognitive science, anthropology, communication studies, graphic design and industrial design. !! Artificial imagination research uses tools and insights from many fields, including computer science, rhetoric, psychology, creative arts, philosophy, neuroscience, affective computing, Artificial Intelligence, cognitive science, linguistics, operations research, creative writing, probability and logic. !! The concept of rational agents can be found in various disciplines such as artificial intelligence, cognitive science, decision theory, economics, ethics, game theory, and the study of practical reason. !! Embodied cognitive science borrows heavily from embodied philosophy and the related research fields of cognitive science, psychology, neuroscience and artificial intelligence. !! Network capable: ability to communicate and bundle (product bundling) with another product (business) or product setsThe vision of smart products poses questions relevant to various research areas, including marketing, product engineering, computer science, artificial intelligence, economics, communication science, media economics, cognitive science, consumer psychology, innovation management and many more. !! Intelligent agents in artificial intelligence are closely related to agents in economics, and versions of the intelligent agent paradigm are studied in cognitive science, ethics, the philosophy of practical reason, as well as in many interdisciplinary socio-cognitive modeling and computer social simulations."
